Model,DPO2002B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,6.4e-05,
Filter Frequency,7e+07,
Record Length,3124,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.1
Label,,
TIME,CH1,CH2
-6.0408e-02,0.0890625,0.0739531
-6.0344e-02,0.0679688,0.0681406
-6.0280e-02,0.0335938,0.0662969
-6.0216e-02,0.000312507,0.06125
-6.0152e-02,-0.035625,0.0584844
-6.0088e-02,-0.0695312,0.0536094
-6.0024e-02,-0.0904687,0.0495938
-5.9960e-02,-0.121094,0.0454531
-5.9896e-02,-0.154844,0.0421094
-5.9832e-02,-0.183125,0.0375313
-5.9768e-02,-0.205625,0.0326094
-5.9704e-02,-0.23875,0.0279063
-5.9640e-02,-0.270312,0.0242813
-5.9576e-02,-0.294375,0.0204375
-5.9512e-02,-0.31875,0.0149219
-5.9448e-02,-0.34875,0.0112344
